"name","aliases","region","category","is_niche","ticket_cny","shuttle_cny","altitude_m","visit_hours","best_time","road_requirement","signal","rating","recommendation","suggested_day","detour_note","ref_url"
"二尕公路（二尕线）","二尕线、二尕达坂公路、二指哈拉达坂方向道路。","祁连—肃南","公路景观","1","0","","3500","2-3h（含车程）","正午前后通过（doc2 计划 14:00 到达二尕公路观景、路餐、来源：doc2）。9 月底—10 月初特别说明：这条路是全程""是否封闭""风险最高的一段、doc2 与 sheet 都两次写明""提前查二尕公路是否封闭、雨雪改扁都口""（来源：doc2、sheet）。10 月初一场雪就可能直接封路。","柏油+部分修补路段、弯多、窄、会车困难；山路狭窄、注意会车（来源：sheet）。建议 SUV。","大段无信号。","必走（查封路）","顺路强烈推荐（前提","D3","",""
"肃南（裕固族自治县）","肃南裕固族自治县、红湾寺镇。","张掖","城镇/夜市/美食","1","0","","2500","20min","无特殊要求。9 月底—10 月初特别说明：D3 傍晚经过、天黑早、补给后尽快下山进张掖。","G213 柏油路。","县城满格。","顺路补给","顺路可去（功能性补给点）","D3","",""
"张掖七彩丹霞","张掖国家地质公园、临泽丹霞、七彩山、彩虹山。","张掖","丹霞地貌","0","93","","1800-2000","3-4h","17:30—19:30 日落（来源：doc1 机位表）；推荐日落前 2 小时入园（来源：research/B）。9 月底—10 月初特别说明：日落约为 18:40—19:00（来源：research/B）、doc3 实走记录""10 月初一般 7 点日落""（来源：doc3实走）。本次行程的关键冲突：d…","高速+景区柏油路、轿车无压力。景区内各观景台之间必须坐观光车、步行不可行。","满格。","🌟🌟🌟🌟 / 🌟🌟🌟🌟","必去","D4","","http://lz.bendibao.com/tour/2019116/44185.shtm"
"张掖大佛寺","西夏国寺、宏仁寺、卧佛寺。","张掖","石窟/寺庙","0","41","","1483","1-1.5h","上午或傍晚。9 月底—10 月初特别说明：本次行程 D4（9.28）07:00 就要从张掖出发去七彩丹霞与敦煌（来源：doc2）、没有时间进大佛寺；只有在 D3 晚上到张掖较早（19:00 前）或改行程时才有机会。sheet 版本的住宿之一是""如家商旅（张掖高铁西站大佛寺店）""（来源：sheet）、…","市区柏油路。","满格。","建议放弃（本次）","顺路可去（仅在 D3 晚上有余量时）","D3 晚 变体","",""
"嘉峪关关城 · 悬臂长城 · 天下第一墩（三景通票）","嘉峪关文物景区、嘉峪关关城、悬壁长城（明嘉靖十八年建）、长城第一墩（讨赖河墩）。","嘉峪关","遗址/古迹/关隘","0","110","","1700","4.5-5h","下午 14:00—17:00 拍关城城楼正面或侧面（来源：doc1 机位表）；悬壁长城看晚霞（来源：doc3实走""晚霞还可以""）。9 月底—10 月初特别说明：本次 D4（9.28）行程是""张掖→七彩丹霞→嘉峪关方向路过→敦煌""、doc2 明确写""嘉峪关可远观""、只在此地""14:00 嘉峪关/酒泉午…","G30 连霍高速 + 市区路、轿车无压力。三景相距十几公里、必须自驾或包车（来源：doc3实走、research/B）。","满格。","🌟🌟 / 🌟🌟🌟","顺路可去（本次行程建议只远观/午餐、不进三景）","D4（本次仅路过）","","https://www.163.com/dy/article/KUVS602A0556M7YV.html"
"莫高窟","千佛洞、敦煌石窟。","敦煌","石窟/寺庙","0","238","","1100","3-4h","拍九层楼外景 09:00—11:00、45° 角、标准镜头（来源：doc1 机位表）。9 月底—10 月初特别说明（本册最重要的一条）： - 预约规则：提前 30 天在""莫高窟参观预约网""官方公众号 07:00 开抢（来源：research/B）。 - research/B 明确预警：10 月 1…","柏油路、轿车无压力。","满格。窟区禁飞无人机（来源：doc2）。","🌟🌟🌟🌟 / 🌟🌟🌟🌟🌟","必去（全线灵魂、不可替代）","D5","","https://www.dha.ac.cn/info/1020/7498.htm"
"鸣沙山 · 月牙泉","沙岭晴鸣、沙漠第一泉（月牙泉）。","敦煌","沙漠绿洲","0","110","","1650","4-8h","黄昏 19:30—20:00 拍沙脊剪影、长焦（来源：doc1 机位表）；18:00 后入园避暑（来源：research/B）。 - 万人星空演唱会：research/B 记约 21:30 开始（来源：research/B）；doc3 一手实走记 20:00（8 点）开始（来源：doc3实走）。存在…","市区柏油路。看演唱会时建议把车停得离景区稍远一点（来源：doc3实走、避免散场堵死）。","满格（演唱会时可能拥堵）。","🌟🌟🌟🌟🌟 / 🌟🌟🌟🌟🌟","必去（全线体验第一）","D5","","https://elephant-trip.com/dunhuang-mingsha-moon-spring-guide-concert-route-price/"
"沙洲夜市","敦煌沙洲夜市、敦煌夜市。","敦煌","城镇/夜市/美食","0","0","","1139","1-1.5h","20:00 后（来源：doc2 时间线""20:00 沙洲夜市""）。9 月底—10 月初特别说明：若当晚看鸣沙山演唱会（到 22:00）、夜市要顺延到 22:30 之后、或改为演唱会前先吃。doc3 的实际做法是演唱会 9 点提前退场（来源：doc3实走）、退场后正好赶夜市。","市区、建议步行或打车。","满格。","顺路强烈推荐","顺路强烈推荐（住宿就在旁边、零成本）","D5","",""
"阿克塞石油小镇（博罗转井影视基地）","博罗转井镇、阿克塞老城、九层妖塔取景地、石油小镇遗址。","阿克塞","遗址/古迹/关隘","1","30","","3000","1h","正午到下午均可、阴天/黄昏废墟感更强。9 月底—10 月初特别说明：本次排在 D6（9.30）中午、正好当午餐点。当地风大、中午气温尚可。","G215 柏油路直达、镇内为老柏油+砂石路、轿车可进但慢行。","有信号（较弱）。","顺路可去（doc2：可略）","顺路可去（30 元、1 小时、零绕路）、但对废墟审美无感的人建议直接放弃","D6","","https://you.m.autohome.com.cn/details/229963/"
"当金山垭口","当金山口、当金山达坂。","甘青界","垭口/山口","0","0","","3648","15-30min","全天。9 月底—10 月初特别说明：doc2 明确警告""9 月底—10 月祁连、昆仑山口、当金山垭口可能降雪封路、关注'青海交通'公众号预警""（来源：doc2）。出发前一天务必查路况。","柳格高速/G215 柏油盘山路、路况好。doc2 限速警告：当金山盘山限速 40—60；下坡用发动机降挡控速；翻过垭口后戈壁""路太好""是全程最易超速的路段（来源：doc2）。","垭口附近弱信号或无信号。","顺路强烈推荐","必经、顺路强烈推荐停 15 分钟","D6","",""
"苏干湖（大苏干湖）","大苏干湖、小苏干湖（两湖并称）。","阿克塞","湖泊","1","0","","2795","30min","上午光线好。9 月底—10 月初特别说明：正值候鸟南迁季、湖上鸟类相对多；但保护通告执行更严。","G215 柏油路观景；通往湖边的支路为砂石土路且已禁止进入。","信号差（来源：research/A）。","顺路可去（远观）","顺路可去（停 20—30 分钟远观即可）","D6","","https://m.sohu.com/a/1058916912_121106869/"
"黑独山","黑山戈壁、水墨黑独山、火星黑山。","大柴旦西北","山岳/雪峰","1","0","","3200","1-2h","正午顶光反而适合表现黑白反差；阴天最像水墨。9 月底—10 月初特别说明：秋季风极大、doc3 一手记录""空旷、有风沙、迎面过来有小型沙尘暴的感觉、有点吓人""（来源：doc3实走）。10 月初风更硬、无人机慎飞。","主路为柏油/砂石路、轿车可到外层观景处；进入内层需走非铺装土路、建议 SUV、且 doc3 团队因""路远不想进""而放弃（来源：doc3实走）。","弱或无信号。","🌟🌟 / 🌟（""不值""）","顺路可去、但优先级低；若当天时间紧张、建议放弃","D6","",""
"大柴旦翡翠湖","大柴旦盐湖、翡翠湖景区（原大柴旦化工厂盐湖采矿队采矿区）。","大柴旦","盐湖","0","50","60","3150-3170","2h","doc1 机位表：10:00—14:00、无风时的镜面倒影、需偏振镜（来源：doc1）；doc3 实走是傍晚 17:30—19:30、也拍到了好片（来源：doc3实走）。9 月底—10 月初特别说明：本次排在 D7（10.1）早上 08:00—09:30（来源：doc2）——清晨风最小、镜面最稳、且…","柏油路直达景区、轿车无压力。景区内步道+小火车。","很好、有信号（来源：research/A）。","🌟🌟🌟🌟 / 🌟🌟🌟🌟","必去","D7","",""
"乌素特水上雅丹","乌素特雅丹地质公园、水上魔鬼城、""戈壁滩上的碧玉""。","大柴旦","雅丹地貌","0","60","60","2800","1.5-2h","doc1 机位表：15:00—18:00、观景台俯瞰角度、广角镜头（来源：doc1）。9 月底—10 月初特别说明：本次排在 D7（10.1）11:30—13:30（来源：doc2）、是顶光时段、颜色会偏平。若想按 doc1 的最佳光线、需要把翡翠湖和水上雅丹的顺序对调、但那会打乱后面的 U 型公路…","G315 柏油路 + 景区专用道、轿车无压力；景区内必须坐观光车。","很好、有信号（来源：research/A）。","🌟🌟🌟 / 🌟🌟🌟","顺路可去（不是必去）","D7","","https://post.m.smzdm.com/p/ad74ke5n/"
"东台吉乃尔湖","上帝的蓝眼泪、高原上的马尔代夫、青海马尔代夫。","柴达木","湖泊","1","0","","2680","0.5-1.5h","傍晚夕阳时段（doc3 一手结论）——""走到湖边借助夕阳余晖、地面和湖面都像镜子一样非常纯净、看到了七彩的颜色、以为是到了冰岛""（来源：doc3实走）。9 月底—10 月初特别说明：本次 doc2 行程并未把东台吉乃尔湖单独列为停靠点（D7 是翡翠湖→水上雅丹→U 型公路→格尔木）、但它就在 G31…","主线柏油路直达、普通轿车无压力（来源：research/A）；但 doc3 一手记录""不是景区、路上破破烂烂的""（来源：doc3实走）、指的是从主路下到湖边的支路。SUV 更从容。","有信号（来源：research/A）。","🌟🌟🌟🌟 / 🌟🌟🌟🌟🌟","必去（本册最强推荐之一）","D7","","https://post.m.smzdm.com/p/a3mon6zd/"
"G315 U 型公路（网红公路）","U 型公路、天空之镜公路、青海版 66 号公路、网红公路。","柴达木","公路景观","0","0","","3000","20min","日出/日落低角度光线时立体感最强。9 月底—10 月初特别说明：本次排在 D7（10.1）15:00（来源：doc2）、顶光偏平；且国庆期间此处违停车辆和执法都会明显增多。","G315 柏油路、路面一直起伏不平、U 型一段接着一段（来源：doc3实走）。轿车可走但注意悬挂与车速；限速 80、全程测速（来源：doc2）。","弱（来源：doc2""全程信号弱、下离线地图""）。","噱头大于观赏","顺路可去（20 分钟、仅在观景台）","D7","",""
"察尔汗盐湖","察尔汗（蒙古语""盐泽/盐的世界""）、万丈盐桥。","格尔木","盐湖","0","60","40","2680","2-2.5h","上午 10:00—13:00 阳光直射时绿色最饱和。9 月底—10 月初特别说明：本次排在 D9（10.3）09:30—12:00（来源：doc2）、时段合适。doc2 特别提示""察尔汗最晒""（来源：doc2）——10 月初紫外线依然极强。","G3011 + 盐湖景区道路、柏油路、轿车无压力；景区内必须换乘大巴。","很好、有信号（来源：research/A）。","🌟🌟🌟🌟🌟 / 🌟🌟🌟🌟","必去","D9","","https://touch.travel.qunar.com/poi/3864441?_t=t"
"昆仑山深度段：无极龙凤宫 / 不冻泉 / 昆仑山口 / 玉珠峰 / 西王母瑶池","昆仑山口（昆仑山垭口）、玉虚峰/玉珠峰、瑶池（黑海）、昆仑神泉（不冻泉）。","格尔木南","高原山口综合线路","1","0","","4767","全天","上午光线好且午后易起风雪。9 月底—10 月初特别说明：doc2 明确警告""昆仑山口全程最高、可能降雪、查 G109 路况、买氧气瓶""（来源：doc2）；本次排在 D8（10.2）。此时昆仑山口已可能下雪、出发前查""青海交通""路况、并在格尔木买好氧气瓶。","G109 为柏油国道、但大货车极多、且冻土层造成波浪路严重、驾车易""起飞""、需谨慎（来源：准哪去 转引 research/A）。 - 西王母瑶池支线路况极差、需涉水和走碎石荒路、限越野车/SUV（来源：research/A、doc2""瑶池支线需 SUV""）。若租的是轿车、瑶池必须放弃。","G109 沿线断续有信号；瑶池支线基本无信号。","必去（灵魂）","必去（research/A 结论","D8","","https://www.zhunaqu.com/beijing/article/18418"
"德令哈（海子诗歌陈列馆 / 巴音河）","德令哈市（海西州首府）、""雨水中一座荒凉的城""。","德令哈","城镇/夜市/美食","0","0","","2980","0.5-1h","傍晚沿巴音河散步。9 月底—10 月初特别说明：本次 D9（10.3）17:00 抵达德令哈（来源：doc2）、陈列馆 17:30 关门、大概率赶不上。若一定要去、需把察尔汗压缩 40 分钟、或改在 D10 早上出发前（但 D10 08:00 就要走、仍然不开门）。现实结论：本次行程只能逛巴音河、陈…","市区柏油路。","市区满信号（来源：research/A）。","必经住宿点","必经住宿点；市区景点属""顺路可去""","D9","","https://www.trip.com/travel-guide/attraction/delingha/haizi-poetry-exhibition-hall-38419172"
"茶卡盐湖","天空之镜、茶卡（藏语""盐池""）。","乌兰","盐湖","0","60","50","3059","2h","doc1 机位表：07:00—09:00 无风镜面、需要下水（穿鞋套）、广角+超广角（来源：doc1）； - doc2 则记""茶卡依赖天气、下午光线好""（来源：doc2）。两说冲突、存在差异——共识是""必须无风、必须晴天""。 - 9 月底—10 月初特别说明：本次排在 D10（10.4）11:30—…","G315 柏油路直达、轿车无压力。","有信号。","条件性放弃","顺路可去、但可放弃（条件性）","D10","",""
"青海湖（二郎剑 / 仙女湾 / 环湖西路 / 尕海 / 黑马河日出 / 东格尔观景台 / 尕日拉寺）","措温布（藏语""青色的海""）、天上湖泊、西海。","海南/海北","湖泊","0","0-100","","3196","3h","doc1 机位表：仙女湾 16:00—18:00、湖边栈道延伸处、广角+人像（来源：doc1）。 - 黑马河日出是青海湖的经典项目（需前一晚住黑马河）。 - 9 月底—10 月初特别说明：本次 D10（10.4）15:30 才到环湖西路（来源：doc2）、正好卡在 doc1 的最佳时段边缘、但doc…","G109/环湖西路均为柏油路、轿车无压力。doc2 限速警告：青海湖环湖 G109（倒淌河—黑马河、尤其江西沟—黑马河）测速严（来源：doc2）。doc3 一手提示""路上很多牛羊""（来源：doc3实走）——牛羊随时上路、必须减速。","环湖主要路段有信号。","🌟🌟🌟🌟 / 🌟🌟🌟🌟","必去（但按""免费观景台为主、景区为辅""的方式玩）","D10","",""
"德令哈琉璃湖（奶子湖）","奶子湖、牛奶湖、琉璃白湖、琉璃海、奶子河（来源：research/A、搜狐）。","德令哈秘境","湖泊","1","0","","3000-3400","湖边 2—3h（含往返 5—7h）","季节：6—9 月（来源：research/A）。 - 时段：上午 10 点前或下午 4 点后到达、避开正午顶光；光线斜射时湖水呈现梦幻的""蒂芙尼蓝""（来源：research/A）。 - 9 月底—10 月初特别说明：本次行程时间（10.3—10.4 经过德令哈）已在推荐季节的尾巴上。10 月初高原早…","最后一段为碎石、戈壁搓板路、坡度较大且有涉水点、强烈建议越野车或四驱 SUV、不建议轿车进入（来源：微博 转引 research/A）。 - 需行驶约 1 个多小时的碎石路、车辆需具备一定越野性能（来源：什么值得买）。 - 一手网友警告最直白：""路面颠簸、容易晕车；轿车千万不要来、要爬山涉水、沿途看…","进入山谷后无信号、必须提前下载离线地图（来源：什么值得买）；另有记录称""湖区部分区域手机无信号""（来源：头条）。","强烈推荐（限四驱）","顺路强烈推荐（仅限四驱 + 晴天 + 有大半天）","D9/D10 加插、需 1 整天","需绕路：德令哈往返约 200—260km / 5—7h","https://post.m.smzdm.com/p/axkexmvd/"
"哈拉湖","黑海、青海第二大湖（来源：research/A）；被媒体称为""地球最后一滴眼泪""（来源：搜狐）。","德令哈秘境","湖泊","1","0","","4100-4300","至少 1.5—2 天","季节：6—9 月、避开大雪期（来源：research/A）。 - 9 月底—10 月初特别说明（决定性）：本次行程 10 月初经过德令哈、已经越过推荐季节。祁连山腹地 10 月初随时可能降雪、湖区昼夜温差极大——夏季夜间就已是 -5 至 0℃（来源：搜狐）、10 月初只会更冷。这是""建议放弃""的第一…","总体评级：极度恶劣。 南线多搓板路和乱石滩、需翻越三个 4000m 以上达坂；东线天峻段虽有部分柏油路、但冻土沉降导致波浪路严重。必须硬派越野车（4x4）、单车严禁进入（来源：有驾 转引 research/A）。 - 沿途 80% 以上是戈壁沙石路、草原沼泽岔路、河床冲击路段（来源：头条）。 - 南…","全程基本无信号、必须携带卫星电话或北斗盒子（来源：新浪 转引 research/A）。","建议放弃（本次）","建议放弃","不建议纳入","需绕路：德令哈往返约 400km+ / 1.5—2 天","https://www.wingontravel.com/discovery/scenic-hala-lake-22866364"
"茫崖冷湖 · 琉璃之境（如意湖）","琉璃之境、如意湖、冷湖琉璃湖。","茫崖冷湖火星带","湖泊","1","","20","2800-3000","1—1.5h","正午前后颜色最饱和。9 月底—10 月初特别说明：本次行程不经过、无需考虑；若做茫崖变体、10 月初风大、注意保暖。","柏油路可达景区入口、轿车可行。","冷湖镇附近有信号。","需专门绕路","需专门绕路（本次放弃）","变体（茫崖线）","需绕路：整个茫崖变体往返 4—6 天","https://hk.trip.com/moments/poi-liuli-realm-ruyi-lake-152777219/"
"艾肯泉（恶魔之眼）","恶魔之眼、艾肯泉、""大地之眼""。","茫崖冷湖火星带","地质奇观/泉","1","20","","2900","1—1.5h","正午顶光时""眼睛""的色彩层次最清晰（航拍需要垂直光）。9 月底—10 月初特别说明：本次行程不经过。","土路、轿车可通行但灰尘极大且多小坑（来源：research/A）。","弱信号。","必去（若走茫崖线）","需专门绕路（本次放弃）；茫崖变体下为该片区第一必去","变体","需绕路：同上、4—6 天","https://hk.trip.com/moments/theme/poi-aiken-spring-92265468-food-993052/"
"俄博梁雅丹 / 火星营地","俄博梁雅丹群、火星一号公路、冷湖火星营地。","茫崖冷湖火星带","雅丹地貌","1","0","","3200","半天—1 晚","日落与夜间星空是核心；正午光线平、雅丹层次弱。9 月底—10 月初特别说明：本次行程不经过；若做变体、10 月初夜间接近冰点、住太空舱需厚睡袋级保暖。","火星一号公路全线为砂石路、搓板感极强、底盘较低的轿车容易托底、建议 SUV 或越野车（来源：大象旅行 转引 research/A）。","无信号、火星营地有微弱 WiFi 或卫星信号（来源：research/A）。","需专门绕路","需专门绕路（本次放弃）","变体","需绕路：同上、4—6 天","https://ae.trip.com/moments/poi-mars-camp-90411878/"
"冷湖石油小镇遗址","冷湖四号公墓、冷湖老基地、石油小镇遗址。","茫崖冷湖火星带","遗址/古迹/关隘","1","0","","2800","1h","黄昏最有氛围。9 月底—10 月初特别说明：本次行程不经过。","柏油路+砂石支路、轿车可达主要点位。","镇区有信号、遗址区弱。","顺路可去（茫崖线）","需专门绕路（本次放弃）","变体","需绕路：同上；茫崖变体下顺路",""
"赛什腾山天文台（冷湖天文观测基地）","冷湖天文观测基地、赛什腾山。","茫崖冷湖火星带","博物馆/展馆","1","0","","4200","远眺 30min","黄昏远眺圆顶剪影；夜间是全国最好的观星地之一。9 月底—10 月初特别说明：本次行程不经过。","山脚公路状况良好；通往天文台的盘山公路受管制（来源：research/A）。","弱。","顺路远眺","需专门绕路（本次放弃）","变体","需绕路：同上","https://baike.baidu.com/item/%E5%86%B7%E6%B9%96%E5%A4%A9%E6%96%87%E8%A7%82%E6%B5%8B%E5%9F%BA%E5%9C%B0/63457464"
"西台吉乃尔湖","西台湖、双色湖。","柴达木主线","湖泊","1","0","","2700","30—60min","正午到下午、阳光直射时双色对比最明显。9 月底—10 月初特别说明：本次 D7（10.1）走 G315 时必经、建议在去水上雅丹的路上停 30 分钟。","柏油路直达、普通轿车无压力（来源：research/A）。","有信号（来源：research/A）。","顺路强烈推荐","顺路强烈推荐","D7","零绕路",""
"一里坪","一里坪盐湖、一里坪矿区。","柴达木主线","盐湖","1","0","","2700-2800","30min","正午到下午。9 月底—10 月初特别说明：本次 D7 若时间富余可顺路停靠。","柏油路、轿车可行（来源：research/A）。","有信号（来源：research/A）。","顺路可去","顺路可去","D7","零绕路",""
"南八仙雅丹","南八仙魔鬼城、南八仙雅丹群。","柴达木主线","雅丹地貌","1","0","","2800","1h（仅路边）","日出/日落斜光时雅丹的立体感最强。9 月底—10 月初特别说明：本次 D7 途经 G315、可按时间决定。","柏油路可到边缘、信号弱（来源：research/A）；深入需走非铺装土路、建议 SUV。","信号弱（来源：research/A）。","顺路可去（易迷路）","顺路可去（只在边缘停留）","D7","零绕路（深入需越野、不建议）","https://elephant-trip.com/%E5%8D%97%E5%85%AB%E4%BB%99%E9%AD%94%E9%AC%BC%E5%9F%8E/"
"小柴旦湖","小柴旦盐湖。","柴达木主线","湖泊","1","0","","3150","30min","清晨无风时雪山倒影最完整。9 月底—10 月初特别说明：本次 D6（9.30）傍晚或 D7（10.1）清晨路过大柴旦时可顺路停靠、清晨优先。","高速旁、柏油路可达、轿车无压力（来源：research/A）。","有信号（来源：research/A）。","顺路强烈推荐","顺路强烈推荐","D6/D7","零绕路","http://m.toutiao.com/group/7673272006867124780/"
"鱼卡","鱼卡镇、鱼卡丹霞。","柴达木主线","城镇/夜市/美食","1","0","","3100","20min","黄昏侧光时红层山体最艳。9 月底—10 月初特别说明：本次 D6 从敦煌方向进大柴旦时可顺路。","柏油路、轿车无压力。","弱—中等。","顺路可去","顺路可去（功能性大于观赏性）","D6","零绕路",""
